filename,test_type,expected_class,view_type,species_name,source_page_url,direct_image_url,creator,license,record_id,download_date,notes
positive_07_02.jpg,positive,Psidium guajava,wider_trunk,Psidium guajava,https://commons.wikimedia.org/wiki/File:Psidium_guajava_45zz.jpg,https://upload.wikimedia.org/wikipedia/commons/8/85/Psidium_guajava_45zz.jpg,Photo by David J. Stang,CC BY-SA 4.0,commons-page-61232136,2026-08-14,downloaded from recorded original URL or official Commons 1600px fallback; machine-validated; pending manual visual confirmation
positive_08_01.jpg,positive,Tamarindus indica,closeup,Tamarindus indica,https://commons.wikimedia.org/wiki/File:Casca_do_tronco_de_Tamarindus_indica_L.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9e/Casca_do_tronco_de_Tamarindus_indica_L.jpg,MarceloTeles,CC BY-SA 4.0,commons-page-92684987,2026-08-14,downloaded from recorded original URL or official Commons 1600px fallback; machine-validated; pending manual visual confirmation
positive_08_02.jpg,positive,Tamarindus indica,wider_trunk,Tamarindus indica,https://commons.wikimedia.org/wiki/File:Tamarind_Tree_3.jpg,https://upload.wikimedia.org/wikipedia/commons/9/91/Tamarind_Tree_3.jpg,Mokkie,CC BY-SA 3.0,commons-page-30084599,2026-08-14,downloaded from recorded original URL or official Commons 1600px fallback; machine-validated; pending manual visual confirmation
positive_09_01.jpg,positive,Tectona grandis,closeup,Tectona grandis,https://commons.wikimedia.org/wiki/File:Bark_of_Tectona_grandis.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a1/Bark_of_Tectona_grandis.jpg,S. K. Gawali,Public domain,commons-page-7511663,2026-08-14,downloaded from recorded original URL or official Commons 1600px fallback; machine-validated; pending manual visual confirmation
positive_09_02.jpg,positive,Tectona grandis,wider_trunk,Tectona grandis,https://commons.wikimedia.org/wiki/File:Kannimara_Teak_in_Parambikulam_Tiger_Reserve_on_13-01-2011_P1120586.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bc/Kannimara_Teak_in_Parambikulam_Tiger_Reserve_on_13-01-2011_P1120586.jpg,PJeganathan,CC BY-SA 4.0,commons-page-52868772,2026-08-14,downloaded from recorded original URL or official Commons 1600px fallback; machine-validated; pending manual visual confirmation
positive_10_01.jpg,positive,Terminalia catappa,closeup,Terminalia catappa,https://commons.wikimedia.org/wiki/File:Desi_Badam_(Terminalia_catappa)_old_trunk_in_Kolkata_W_IMG_2218.jpg,https://upload.wikimedia.org/wikipedia/commons/9/93/Desi_Badam_%28Terminalia_catappa%29_old_trunk_in_Kolkata_W_IMG_2218.jpg,J.M.Garg,CC BY-SA 3.0,commons-page-3703000,2026-08-14,downloaded from recorded original URL or official Commons 1600px fallback; machine-validated; pending manual visual confirmation
positive_10_02.jpg,positive,Terminalia catappa,wider_trunk,Terminalia catappa,https://commons.wikimedia.org/wiki/File:HK_%E9%8A%85%E9%91%BC%E7%81%A3_Causeway_Bay_Road_tree_Indisn_Almond_Terminatia_Catappa_%E6%A8%B9_%E5%96%AC%E6%9C%A8_December_2016_Lnv2_trunk.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ea/HK_%E9%8A%85%E9%91%BC%E7%81%A3_Causeway_Bay_Road_tree_Indisn_Almond_Terminatia_Catappa_%E6%A8%B9_%E5%96%AC%E6%9C%A8_December_2016_Lnv2_trunk.jpg,Bulk Greenman Richards,CC BY-SA 4.0,commons-page-54297786,2026-08-14,downloaded from recorded original URL or official Commons 1600px fallback; machine-validated; pending manual visual confirmation
negative_forest_01.jpg,negative,,forest,,https://commons.wikimedia.org/wiki/File:Trees_along_the_Hald_S%C3%B8_Viborg_Commune_Danemark.jpg,https://upload.wikimedia.org/wikipedia/commons/c/ca/Trees_along_the_Hald_S%C3%B8_Viborg_Commune_Danemark.jpg,Jebulon,CC0,commons-page-47485777,2026-08-14,downloaded from recorded original URL or official Commons 1600px fallback; machine-validated; pending manual visual confirmation
negative_leaf_01.jpg,negative,,leaf,,https://commons.wikimedia.org/wiki/File:Holly_leaf_closeup.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ef/Holly_leaf_closeup.jpg,Terry.grignon,CC0,commons-page-154873857,2026-08-14,downloaded from recorded original URL or official Commons 1600px fallback; machine-validated; pending manual visual confirmation
negative_flower_01.jpg,negative,,flower,,https://commons.wikimedia.org/wiki/File:Pancratium_maritimum_Flower_Closeup_ParquedelasDunasTorrelaMata.jpg,https://upload.wikimedia.org/wikipedia/commons/1/19/Pancratium_maritimum_Flower_Closeup_ParquedelasDunasTorrelaMata.jpg,Javier martin,Public domain,commons-page-7353206,2026-08-14,downloaded from recorded original URL or official Commons 1600px fallback; machine-validated; pending manual visual confirmation
negative_fruit_01.jpg,negative,,fruit,,https://commons.wikimedia.org/wiki/File:Yellow_dragon_fruit_closeup_(50827s).jpg,https://upload.wikimedia.org/wikipedia/commons/6/60/Yellow_dragon_fruit_closeup_%2850827s%29.jpg,Rhododendrites,CC BY-SA 4.0,commons-page-65840565,2026-08-14,downloaded from recorded original URL or official Commons 1600px fallback; machine-validated; pending manual visual confirmation
negative_rock_01.jpg,negative,,rock,,https://commons.wikimedia.org/wiki/File:Stone_rock_texture_closeup.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8f/Stone_rock_texture_closeup.jpg,Titus Tscharntke,Public domain,commons-page-24920237,2026-08-14,downloaded from recorded original URL or official Commons 1600px fallback; machine-validated; pending manual visual confirmation
negative_wood_01.jpg,negative,,wood,,https://commons.wikimedia.org/wiki/File:Wood_planks_texture.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7c/Wood_planks_texture.jpg,Titus Tscharntke,Public domain,commons-page-24920611,2026-08-14,downloaded from recorded original URL or official Commons 1600px fallback; machine-validated; pending manual visual confirmation
